State,Revenue,Count
AK,0,0
AL,0,0
AR,0,0
AZ,460000000,1
CA,17195590106,48
CO,300000000,1
CT,0,0
DC,934700000,1
DE,0,0
FL,471100000,3
GA,0,0
HI,0,0
IA,0,0
ID,0,0
IL,3398880000,6
IN,0,0
KS,0,0
KY,0,0
LS,0,0
MA,1643980000,6
MD,0,0
ME,0,0
MI,0,0
MN,0,0
MO,0,0
MS,0,0
MT,0,0
NC,2936100001,2
ND,0,0
NE,0,0
NH,0,0
NJ,575000000,1
NM,0,0
NV,1262750000,1
NY,3555140000,19
OH,153225000,2
OK,0,0
OR,0,0
PA,93000000,1
RI,0,0
SC,0,0
SD,0,0
TN,0,0
TX,140500000,1
UT,333200000,1
VA,0,0
VT,0,0
WA,836650000,4
WI,126000000,1
WV,0,0
WY,0,0